Team Name,Year,Total Home Attendance
Chicago Cubs,1994,1845278
Chicago White Sox,1994,1697448
Cincinnati Reds,1994,1897591
Cleveland Indians,1994,1995474
Colorado Rockies,1994,3281464
Detroit Tigers,1994,1184783
Florida Marlins,1994,1942377
Houston Astros,1994,1560970
Kansas City Royals,1994,1400581
Los Angeles Dodgers,1994,2280140
Milwaukee Brewers,1994,1268398
Minnesota Twins,1994,1398565
Montreal Expos,1994,1276250
New York Mets,1994,1152161
New York Yankees,1994,1681507
Oakland Athletics,1994,1240920
Philadelphia Phillies,1994,2289963
Pittsburgh Pirates,1994,1222579
San Diego Padres,1994,953886
San Francisco Giants,1994,1704317
Seattle Mariners,1994,1102288
St. Louis Cardinals,1994,1839098
Texas Rangers,1994,2502662
Toronto Blue Jays,1994,2907949
California Angels,1994,1512622
Atlanta Braves,1995,2564492
Baltimore Orioles,1995,3101759
Boston Red Sox,1995,2164401
Chicago Cubs,1995,1917546
Chicago White Sox,1995,1609775
Cincinnati Reds,1995,1830015
Cleveland Indians,1995,2842722
Colorado Rockies,1995,3402209
Detroit Tigers,1995,1180979
Florida Marlins,1995,1697414
Houston Astros,1995,1392683
Kansas City Royals,1995,1237203
Los Angeles Dodgers,1995,2766628
Milwaukee Brewers,1995,1088220
Minnesota Twins,1995,1057668
Montreal Expos,1995,1308618
New York Mets,1995,1273186
New York Yankees,1995,1709199
Oakland Athletics,1995,1174441
Philadelphia Phillies,1995,2048588
Pittsburgh Pirates,1995,911536
San Diego Padres,1995,1052995
San Francisco Giants,1995,1231591
Seattle Mariners,1995,1640379
St. Louis Cardinals,1995,1756061
Texas Rangers,1995,1985910
Toronto Blue Jays,1995,2826445
California Angels,1995,1748797
Atlanta Braves,1996,2898806
Baltimore Orioles,1996,3654764
Boston Red Sox,1996,2315349
Chicago Cubs,1996,2219110
Chicago White Sox,1996,1666025
Cincinnati Reds,1996,1871459
Cleveland Indians,1996,3320078
Colorado Rockies,1996,3906328
Detroit Tigers,1996,1168610
Florida Marlins,1996,1753706
Houston Astros,1996,1977715
Kansas City Royals,1996,1436006
Los Angeles Dodgers,1996,3188454
Milwaukee Brewers,1996,1327150
Minnesota Twins,1996,1437446
Montreal Expos,1996,1618571
New York Mets,1996,1582648
New York Yankees,1996,2255051
Oakland Athletics,1996,1187348
Philadelphia Phillies,1996,1796354
Pittsburgh Pirates,1996,1322079
San Diego Padres,1996,2207918
San Francisco Giants,1996,1418722
Seattle Mariners,1996,2721073
St. Louis Cardinals,1996,2645824
Texas Rangers,1996,2889040
Toronto Blue Jays,1996,2559910
California Angels,1996,1820183
Anaheim Angels,1997,1774702
Atlanta Braves,1997,3447608
Baltimore Orioles,1997,3692388
Boston Red Sox,1997,2223602
Chicago Cubs,1997,2189948
Chicago White Sox,1997,1865052
Cincinnati Reds,1997,1790058
Cleveland Indians,1997,3394750
Colorado Rockies,1997,3893433
Detroit Tigers,1997,1395413
Florida Marlins,1997,2352567
Houston Astros,1997,2046275
Kansas City Royals,1997,1526638
Los Angeles Dodgers,1997,3319320
