Team Name,Home Runs,Year
Texas Rangers,230,1999
Toronto Blue Jays,212,1999
Anaheim Angels,236,2000
Arizona Diamondbacks,179,2000
Atlanta Braves,179,2000
Baltimore Orioles,184,2000
Boston Red Sox,167,2000
Chicago Cubs,183,2000
Chicago White Sox,216,2000
Cincinnati Reds,200,2000
Cleveland Indians,221,2000
Colorado Rockies,161,2000
Detroit Tigers,177,2000
Florida Marlins,160,2000
Houston Astros,249,2000
Kansas City Royals,150,2000
Los Angeles Dodgers,211,2000
Milwaukee Brewers,177,2000
Minnesota Twins,116,2000
Montreal Expos,178,2000
New York Mets,198,2000
New York Yankees,205,2000
Oakland Athletics,239,2000
Philadelphia Phillies,144,2000
Pittsburgh Pirates,168,2000
San Diego Padres,157,2000
Seattle Mariners,198,2000
San Francisco Giants,226,2000
St. Louis Cardinals,235,2000
Tampa Bay Devil Rays,162,2000
Texas Rangers,173,2000
Toronto Blue Jays,244,2000
Anaheim Angels,158,2001
Arizona Diamondbacks,208,2001
Atlanta Braves,174,2001
Baltimore Orioles,136,2001
Boston Red Sox,198,2001
Chicago Cubs,194,2001
Chicago White Sox,214,2001
